日期,情景,计划购电量_kWh,调整购电量_kWh,紧急购电量_kWh,计划购电费_元,调整费用_元,紧急购电费_元,总费用_元
2025-08-16,更新至18:00,41611.8004065,41786.198983333335,1673.0368666666673,25683.46430030643,218.61694863405057,5935.881867491668,31837.96311643215
2025-08-17,仅0:00预报,70972.1548584362,70972.1548584362,3136.4651833333337,45754.62642968737,0.0,13146.725558733335,58901.351988420705
2025-08-17,更新至6:00,70972.1548584362,71344.0078584362,3258.0669333333326,45754.62642968737,496.8908252650004,14177.445670216664,60428.962925169035
2025-08-17,更新至12:00,70972.1548584362,71672.0424584362,3265.2879166666794,45754.62642968737,958.7252112275007,14199.490529283386,60912.84217019826
2025-08-17,更新至18:00,70972.1548584362,71672.04245843622,3265.2879166666794,45754.62642968737,958.7252112275195,14199.490529283386,60912.84217019827
2025-08-18,仅0:00预报,68632.60725658436,68632.60725658436,3966.0197833333336,45267.59327669678,0.0,16921.991776325,62189.58505302179
2025-08-18,更新至6:00,68632.60725658436,69880.48513703702,3568.0688833333406,45267.59327669678,913.7784250417603,15385.589183758348,61566.96088549689
2025-08-18,更新至12:00,68632.60725658436,68957.84727325103,3589.8902833333323,45267.59327669678,216.2195630800071,15467.34325610833,60951.15609588512
2025-08-18,更新至18:00,68632.60725658436,68957.84727325103,3589.8902833333323,45267.59327669678,216.21956308000327,15467.34325610833,60951.15609588512
2025-08-19,仅0:00预报,67150.77162633745,67150.77162633745,4122.040499999998,44312.31751212401,0.0,16033.97383086666,60346.29134299068
2025-08-19,更新至6:00,67150.77162633745,67150.77162633745,3959.1766628333394,44312.31751212401,0.0,16899.252842628608,61211.57035475262
2025-08-19,更新至12:00,67150.77162633745,68606.65199876542,3637.5416128333395,44312.31751212401,1008.9133623011949,15558.295782128609,60879.52665655382
2025-08-19,更新至18:00,67150.77162633745,68606.65199876542,3637.5416128333395,44312.31751212401,1008.9133623012015,15558.295782128609,60879.526656553826
2025-08-20,仅0:00预报,75843.9992483539,75843.9992483539,4564.186016666667,48561.75304905915,0.0,20428.83647654166,68990.58952560081
2025-08-20,更新至6:00,75843.9992483539,76599.8748483539,2897.077266666667,48561.75304905915,1017.4534886849983,11705.795234633335,61285.00177237749
2025-08-20,更新至12:00,75843.9992483539,76650.70990596694,2644.3395833333334,48561.75304905915,906.9876534560929,10747.8610069,60216.60170941524
2025-08-20,更新至18:00,75843.9992483539,76650.70990596694,2644.3395833333334,48561.75304905915,906.9876534560938,10747.8610069,60216.60170941525
2025-08-21,仅0:00预报,71906.03910246912,71906.03910246912,2799.63115,46346.37082553167,0.0,11625.439573241667,57971.810398773334
2025-08-21,更新至6:00,71906.03910246912,72855.81578580246,2789.0338,46346.37082553167,1240.6910275200003,10993.479532608331,58580.54138566
2025-08-21,更新至12:00,71906.03910246912,73392.45215124279,2275.008599999999,46346.37082553167,1180.221451009494,9150.651010258329,56677.24328679949
2025-08-21,更新至18:00,71906.03910246912,73392.45215124279,2275.008599999999,46346.37082553167,1180.221451009494,9150.651010258329,56677.24328679949
2025-08-22,仅0:00预报,40796.21363333333,40796.21363333333,1597.8734833333333,24910.829081689993,0.0,5909.016407483334,30819.845489173327
2025-08-22,更新至6:00,40796.21363333333,40906.029533333334,2050.826399999999,24910.829081689993,137.57505777000074,7772.078223691662,32820.482363151656
2025-08-22,更新至12:00,40796.21363333333,41674.05176666666,1620.3318333333332,24910.829081689993,732.3867641999938,6026.417345549999,31669.633191439985
2025-08-22,更新至18:00,40796.21363333333,41674.05176666666,1620.3318333333332,24910.829081689993,732.3867642000004,6026.417345549999,31669.633191439993
2025-08-23,仅0:00预报,39317.04806666666,39317.04806666666,1706.2995666666593,23443.54289285,0.0,6062.69901206665,29506.24190491665
2025-08-23,更新至6:00,39317.04806666666,40093.84078333333,1891.4908333333362,23443.54289285,1078.4430292099996,7057.3032719666735,31579.289194026675
